page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading,Sexual_Misconduct
2989,NULL," Sea Containers, Ltd. 
								  
",Dismissed,2006-03-31,2008-05-28,NULL," Transportation"," Water Transportation"," SCR.A"," Public (Listed)"," United Kingdom"," New York SE"," S.D. New York"," 06-CV-02565"," Hon. Richard C. Casey",2006-03-31,2004-03-15,2006-03-24,"Law Office of Christopher J. Gray, P.C.60 Park Avenue, 21st Floor, Law Office of Christopher J. Gray, P.C., NY 10022212.838.3221  · gray@cjgraylaw.com"," S.D. New York"," 06-CV-02565"," Hon. Richard C. Casey",2007-11-14,2004-02-23,2006-03-24,2006,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2990,NULL," Nature's Sunshine Products, Inc. 
								  
",Settled,2006-04-03,2010-02-10,NULL," Healthcare"," Biotechnology & Drugs"," NATRE"," Public (Listed)"," United States"," NASDAQ"," D. Utah"," 06-CV-00267"," Hon. Ted Stewart",2006-04-03,2004-10-19,2006-03-24,"Anderson & Karrenberg700 Bank One Tower, 50 West Broadway, Anderson & Karrenberg, UT 84101801.534.1700  · "," D. Utah"," 06-CV-00267"," Hon. Ted Stewart",2006-11-06,2002-04-23,2006-04-05,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
2991,NULL," TNS Inc. 
								  
",Settled,2006-04-04,2008-06-25,NULL," Technology"," Communications Equipment"," TNS"," Public (Listed)"," United States"," New York SE"," E.D. Virginia"," 06-CV-00363"," Hon. Claude M. Hilton",2006-04-04,2005-09-16,2006-02-22,"Lerach Coughlin Stoia Geller Rudman & Robbins LLP (Melville)58 South Service Road, Suite 200, Lerach Coughlin Stoia Geller Rudman & Robbins LLP (Melville), NY 11747631.367.7100 631.367.1173 · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL
2992,NULL," GMH Communities Trust 
								  
",Settled,2006-04-05,2008-04-28,NULL," Services"," Real Estate Operations"," GCT"," Public (Listed)"," United States"," New York SE"," E.D. Pennsylvania"," 06-CV-01444"," Hon. Petrese B. Tucker",2006-04-05,2004-10-28,2006-03-10,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," E.D. Pennsylvania"," 06-CV-01444"," Hon. Petrese B. Tucker",2007-03-19,2005-05-05,2006-03-10,2006,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2993,NULL," Astea International Inc. 
								  
",Dismissed,2006-04-06,2007-08-22,NULL," Technology"," Software & Programming"," ATEA"," Public (Listed)"," United States"," NASDAQ"," E.D. Pennsylvania"," 06-CV-01467"," Hon. William H. Yohn Jr.",2006-04-06,2005-05-11,2006-03-31,"Chimicles & Tikellis LLP (Haverford)361 West Lancaster Avenue, Chimicles & Tikellis LLP (Haverford), PA 19041888.805.7848 610.649.3633 · mail@chimicles.com"," E.D. Pennsylvania"," 06-CV-01467"," Hon. William H. Yohn Jr.",2006-09-11,2005-05-11,2006-03-31,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
2994,NULL," Staktek Holdings, Inc. 
								  
",Dismissed,2004-10-22,2007-04-02,NULL," Technology"," Semiconductors"," STAK"," Public (Listed)"," United States"," NASDAQ"," W.D. Texas"," 04-CV-01220"," Hon. Bruce D. Black",2004-10-22,2003-11-26,2004-05-19,"Glancy Binkow & Goldberg LLP (Los Angeles)1801 Ave. of the Stars, Suite 311, Glancy Binkow & Goldberg LLP (Los Angeles), CA 90067310.201.915 310. 201-916 · info@glancylaw.com"," W.D. Texas"," 05-CV-00239"," Hon. Bruce D. Black",2005-06-13,2003-11-26,2004-05-19,2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2995,NULL," Quovadx, Inc. 
								  
",Settled,2004-05-17,2007-05-04,NULL," Technology"," Computer Services"," QVDX"," Public (Listed)"," United States"," NASDAQ"," D. Colorado"," 04-CV-01006"," Hon. Richard P. Matsch",2004-05-17,2003-12-19,2004-03-15,"Lowenstein Sandler PC65 Livingston Avenue, Lowenstein Sandler PC, NJ 07068973.597.250 973.597.2400 · sthompson@lowenstein.com"," D. Colorado"," 04-CV-01006"," Hon. Richard P. Matsch",2005-07-26,2003-12-19,2004-03-15,2004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL
2996,NULL," American Service Group, Inc. 
								  
",Settled,2006-04-06,2010-10-18,NULL," Healthcare"," Healthcare Facilities"," ASGRE"," Public (Listed)"," United States"," NASDAQ"," M.D. Tennessee"," 06-CV-00323"," Hon. William J. Haynes, Jr",2006-04-06,2003-09-24,2006-03-16,"Barrett, Johnston & Parsley217 Second Avenue, N, Barrett, Johnston & Parsley, TN 37201615.244.2202  · "," M.D. Tennessee"," 06-CV-00323"," Hon. William J. Haynes, Jr",2006-10-31,2003-09-24,2006-03-16,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2997,NULL," American International Group, Inc. 
								  
",Dismissed,2006-04-07,2007-09-25,NULL," Financial"," Insurance (Prop. & Casualty)"," "," Unknown"," United States"," Undetermined"," E.D. New York"," 06-CV-01625"," Hon. John Gleeson",2006-04-07,2000-06-30,2005-06-08,"Stull, Stull & Brody  (New York)6 East 45th Street, Stull, Stull & Brody  (New York), NY 10017310.209.2468 310.209.2087 · SSBNY@aol.com"," E.D. New York"," 06-CV-01625"," Hon. John Gleeson",2007-05-31,2001-04-07,2005-06-08,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2998,NULL," St. Jude Medical, Inc. 
								  
",Dismissed,2006-04-10,2009-06-23,NULL," Healthcare"," Medical Equipment & Supplies"," STJ"," Public (Listed)"," United States"," New York SE"," D. Minnesota"," 06-CV-01379"," Hon. James M. Rosenbaum",2006-04-10,2006-01-25,2006-04-04,"Abbey Spanier Rodd Abrams & Paradis, LLP (New York)212 East 39th Street, Abbey Spanier Rodd Abrams & Paradis, LLP (New York), NY 10016212-889-3700 212-684-519 · info@abbeyspanier.com"," D. Minnesota"," 06-CV-01379"," Hon. James M. Rosenbaum",2006-10-24,2006-01-25,2006-04-04,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2999,NULL," Orphan Medical, Inc. 
								  
",Dismissed,2006-04-10,2007-09-13,NULL," Healthcare"," Major Drugs"," ORPH"," Public (Listed)"," United States"," NASDAQ"," D. Minnesota"," 06-CV-01377"," Hon. Ann D. Montgomery",2006-04-10,2005-05-23,2006-04-10,"Lockridge, Grindal, Nauen P.L.L.P.Suite 301, 660 Pennsylvania Avenue Southeast, Lockridge, Grindal, Nauen P.L.L.P., DC 20003-4335202.544.9840 202.544.9850 · "," D. Minnesota"," 06-CV-01377"," Hon. Ann D. Montgomery",2007-03-14,2005-05-23,2006-04-10,2006,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
3000,NULL," Fairfax Financial Holdings, Ltd. 
								  
",Dismissed,2006-04-11,2010-07-29,NULL," Financial"," Insurance (Prop. & Casualty)"," "," Unknown"," Canada"," Undetermined"," S.D. New York"," 06-CV-2820"," Hon. George B. Daniels",2006-04-11,2004-03-24,2006-03-21,"Glancy Binkow & Goldberg LLP (Los Angeles)1801 Ave. of the Stars, Suite 311, Glancy Binkow & Goldberg LLP (Los Angeles), CA 90067310.201.915 310. 201-916 · info@glancylaw.com"," S.D. New York"," 06-CV-2820"," Hon. George B. Daniels",2007-02-08,2003-05-21,2006-03-22,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,1,1,NULL,NULL
3001,NULL," Salomon Smith Barney Inc. 
								  
",Settled,2003-01-02,2006-05-19,NULL," Financial"," Money Center Banks"," "," Privately Held"," United States"," Privately Traded"," S.D. New York"," 03-CV-00002"," Hon. Thomas Penfield Jackson",2003-01-02,1998-01-03,2002-08-15,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC)1100 New York Avenue, N.W., Suite 500, West Tower, Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC), DC 20005202.408.4600 202.408.4699 · lawinfo@cmht.com"," S.D. New York"," 03-CV-04391"," Hon. Thomas Penfield Jackson",2003-06-17,1998-01-03,2002-08-15,2003,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3003,NULL," Pixelplus Company, Ltd. 
								  
",Settled,2006-04-17,2009-03-20,NULL," Technology"," Semiconductors"," PXPL"," Public (Listed)"," Korea"," NASDAQ"," S.D. New York"," 06-CV-2951"," Hon. Thomas P. Griesa",2006-04-17,2005-12-21,2006-04-11,"The Rosen Law Firm, P.A. (New York)350 Fifth Avenue, Suite 5508, The Rosen Law Firm, P.A. (New York), NY 10118212.686.1060 212.202.3827 · lrosen@rosenlegal.com"," S.D. New York"," 06-CV-2951"," Hon. Thomas P. Griesa",2007-06-25,2005-12-21,2006-04-11,2006,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL
3004,NULL," Comverse Technology, Inc. 
								  
",Settled,2006-04-19,2011-11-18,NULL," Technology"," Communications Equipment"," CMVT"," Public (Listed)"," United States"," NASDAQ"," E.D. New York"," 06-CV-01825"," Hon. Nicholas G. Garaufis",2006-04-19,2001-04-30,2006-04-16,"Abbey Spanier Rodd Abrams & Paradis, LLP (New York)212 East 39th Street, Abbey Spanier Rodd Abrams & Paradis, LLP (New York), NY 10016212-889-3700 212-684-519 · info@abbeyspanier.com"," E.D. New York"," 06-CV-01825"," Hon. Nicholas G. Garaufis",2009-03-10,2001-04-30,2006-11-14,2006,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3005,NULL," Data Race Inc. 
								  
",Dismissed,2002-08-08,2006-05-08,NULL," Technology"," Communications Equipment"," RACE.PK"," Public (Listed)"," United States"," Pink Sheets"," S.D. New York"," 02-CV-06313"," Hon. Alvin K. Hellerstein",2002-08-08,1997-11-12,1998-07-13,"Bragar, Wexler, Eagel & Morgenstern, L.L.P.885 Third Avenue, Suite 3040 , Bragar, Wexler, Eagel & Morgenstern, L.L.P., NY 10022212.308.5858  · morgenstern@bragarwexler.com"," S.D. New York"," 02-CV-06313"," Hon. Alvin K. Hellerstein",2002-09-27,1997-11-12,1998-07-13,2002,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
3006,NULL," Safeguard Health Enterprises, Inc. 
								  
",Settled,1999-12-21,2002-11-27,NULL," Financial"," Insurance (Accident & Health)"," SFGD"," Public (Listed)"," United States"," NASDAQ"," C.D. California"," 99-CV-01575"," Hon. David O. Carter",1999-12-21,1999-02-26,1999-11-13,"Berman, DeValerio & Pease LLPOne Liberty Square, Berman, DeValerio & Pease LLP, MA 02109617.542.8300  · "," C.D. California"," 99-CV-01575"," Hon. David O. Carter",2000-05-16,1999-02-26,1999-11-13,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3007,NULL," Newpark Resources, Inc. 
								  
",Settled,2006-04-21,2007-10-09,NULL," Energy"," Oil Well Services & Equipment"," NR"," Public (Listed)"," United States"," New York SE"," E.D. Louisiana"," 06-CV-02150"," Hon. Marcel Livaudais",2006-04-21,2005-02-28,2006-04-16,"Glancy Binkow & Goldberg LLP (Los Angeles)1801 Ave. of the Stars, Suite 311, Glancy Binkow & Goldberg LLP (Los Angeles), CA 90067310.201.915 310. 201-916 · info@glancylaw.com"," E.D. Louisiana"," 06-CV-02150"," Hon. Marcel Livaudais",2006-11-09,2002-03-14,2006-10-10,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
3008,NULL," GlobeTel Communications Corporation 
								  
",Settled,2006-04-27,2008-02-04,NULL," Technology"," Communications Equipment"," GTE"," Public (Listed)"," United States"," American SE"," S.D. Florida"," 06-CV-21071"," Hon. Cecilia M. Altonaga",2006-04-27,2005-12-30,2006-04-11,"Sarraf Gentile LLP (former NY)485 Seventh Avenue, Suite 1005, Sarraf Gentile LLP (former NY), NY 10018212.868.3610 212.918.7967 · "," S.D. Florida"," 06-CV-21071"," Hon. Cecilia M. Altonaga",2006-10-30,2005-12-30,2006-08-24,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
3009,NULL," China Energy Savings Technology, Inc. 
								  
",Dismissed,2006-05-01,2006-11-22,NULL," Technology"," Electronic Instruments & Controls"," CESV"," Public (Listed)"," Hong Kong"," NASDAQ"," S.D. New York"," 06-CV-03308"," Hon. Denny Chin",2006-05-01,2005-04-21,2006-02-15,"Capretz & Associates5000 Birch Street, Suite 5000, Capretz & Associates, CA 92660-2151949.724.3000 949.724.3000 · Lawyers@Capretz.com",None,None,None,1900-01-01,1900-01-01,1900-01-01,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3010,NULL," Discovery Laboratories, Inc. 
								  
",Dismissed,2006-05-01,2007-03-15,NULL," Healthcare"," Biotechnology & Drugs"," DSCO"," Public (Listed)"," United States"," NASDAQ"," E.D. Pennsylvania"," 06-CV-01820"," Hon. Stewart Dalzell",2006-05-01,2005-12-28,2006-04-25,"Law Offices of Bernard M. Gross (Philadelphia) (former)1515 Locust Street, 2nd Floor, Law Offices of Bernard M. Gross (Philadelphia) (former), PA 19102215-561-3600 215-561-3000 · bmgross@bernardmgross.com"," E.D. Pennsylvania"," 06-CV-01820"," Hon. Stewart Dalzell",2006-11-30,2004-03-15,2006-06-06,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
3011,NULL," Vitesse Semiconductor Corporation 
								  
",Settled,2006-05-01,2008-04-10,NULL," Technology"," Semiconductors"," VTSS"," Public (Listed)"," United States"," NASDAQ"," C.D. California"," 06-CV-02639"," Hon. Margaret M. Morrow",2006-05-01,2003-10-23,2006-04-26,"Abbey Spanier Rodd Abrams & Paradis, LLP (New York)212 East 39th Street, Abbey Spanier Rodd Abrams & Paradis, LLP (New York), NY 10016212-889-3700 212-684-519 · info@abbeyspanier.com"," C.D. California"," 06-CV-02639"," Hon. Margaret M. Morrow",2007-10-04,2003-01-27,2006-04-27,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
3012,NULL," XM Satellite Radio Holdings, Inc. 
								  
",Dismissed,2006-05-01,2007-03-28,NULL," Services"," Broadcasting & Cable TV"," XMSR"," Public (Listed)"," United States"," NASDAQ"," D. District Columbia"," 06-CV-00802"," Hon. Ellen S. Huvelle",2006-05-01,2005-07-28,2006-02-15,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC)1100 New York Avenue, N.W., Suite 500, West Tower, Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC), DC 20005202.408.4600 202.408.4699 · lawinfo@cmht.com"," D. District Columbia"," 06-CV-00802"," Hon. Ellen S. Huvelle",2006-09-26,2005-07-28,2006-02-16,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3013,NULL," PXRE Group Limited 
								  
",Dismissed,2006-05-03,2009-03-05,NULL," Financial"," Insurance (Prop. & Casualty)"," PXT"," Public (Listed)"," Bermuda"," New York SE"," S.D. New York"," 06-CV-3410"," Hon. Kenneth M. Karas",2006-05-03,2005-07-28,2006-02-16,"Murray, Frank & Sailer LLP275 Madison Ave 34th Flr, Murray, Frank & Sailer LLP, NY 10016212.682.1818 212.682.1892 · email@murrayfrank.com"," S.D. New York"," 06-CV-3410"," Hon. Kenneth M. Karas",2007-06-15,2005-09-11,2006-02-22,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL
3014,NULL," UnitedHealth Group, Inc. 
								  
",Settled,2006-05-05,2009-09-23,NULL," Financial"," Insurance (Accident & Health)"," UNH"," Public (Listed)"," United States"," New York SE"," D. Minnesota"," 06-CV-01691"," Hon. James M. Rosenbaum",2006-05-05,2001-05-04,2006-04-07,"Finkelstein, Thompson & Loughran1050 30th Street, NW, Finkelstein, Thompson & Loughran, DC 20007202.337.8000 202.337.8090 · contact@ftllaw.com"," D. Minnesota"," 06-CV-01691"," Hon. James M. Rosenbaum",2006-12-08,2005-01-20,2006-05-17,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
3015,NULL," Escala Group, Inc. 
								  
",Settled,2006-05-09,2009-10-19,NULL," Services"," Business Services"," ESCL"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 06-CV-03518"," Hon. Alvin Hellerstein",2006-05-09,2003-09-05,2006-05-08,"Ann D. White Law Offices PC101 Greenwood Avenue, Fifth Floor, Ann D. White Law Offices PC, PA 190461.866.389.0274 215-481-0271 · awhite@awhitelaw.com"," S.D. New York"," 06-CV-03518"," Hon. Alvin Hellerstein",2007-06-01,2003-09-05,2006-05-08,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL
3016,NULL," Home Depot, Inc. 
								  
",Dismissed,2006-05-12,2007-07-18,NULL," Services"," Retail (Home Improvement)"," HD"," Public (Listed)"," United States"," New York SE"," N.D. Georgia"," 06-CV-01151"," Hon. J. Owen Forrester",2006-05-12,2001-05-29,2005-02-22,"Page Perry LLC1040 Crown Pointe Parkway; Suite 1050, Page Perry LLC, GA 30338877.673.0047 877.673.0047 · attorneys@pageperry.com"," N.D. Georgia"," 06-CV-01151"," Hon. J. Owen Forrester",2006-11-13,2001-05-29,2005-02-22,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
3017,NULL," Hewlett-Packard Company 
								  
",Dismissed,2003-11-03,2006-06-16,NULL," Technology"," Computer Hardware"," HPQ"," Public (Listed)"," United States"," New York SE"," N.D. California"," 03-CV-01878"," Hon. Alvin W. Thompson",2003-11-03,2001-09-04,2001-11-05,"Chitwood & Harley LLP1230 Peachtree Street, N.E., 2300 Promenade II, Chitwood & Harley LLP, GA 30309888.873.3999 404.873.4476 · info@chitwoodlaw.com"," N.D. California"," 05-CV-02047"," Hon. Alvin W. Thompson",2006-04-07,2001-09-04,2001-11-05,2003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
3018,NULL," Image Innovations Holdings, Inc. 
								  
",Settled,2006-05-15,2012-05-04,NULL," Services"," Retail (Specialty)"," IMGV.PK"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 06-CV-03707"," Hon. John G. Koeltl",2006-05-15,2004-04-13,2006-03-16,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 06-CV-03707"," Hon. John G. Koeltl",2007-01-03,2004-04-13,2006-03-16,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3020,NULL," American Tower Corporation 
								  
",Settled,2006-05-26,2008-06-12,NULL," Services"," Communications Services"," AMT"," Public (Listed)"," United States"," New York SE"," D. Massachusetts"," 06-CV-10933"," Hon. Mark L. Wolf",2006-05-26,2006-02-01,2006-05-24,"Adkins, Kelston and Zavez, PC90 Canal Street, 5th Floor, Adkins, Kelston and Zavez, PC, MA 02114617.367.1040 617.742.8280 · info@akzlaw.com"," D. Massachusetts"," 06-CV-10933"," Hon. Mark L. Wolf",2007-03-26,2002-04-01,2006-05-22,2006,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
3021,NULL," Sears Holdings Corporation and Kmart Holding 
								  
",Dismissed,2006-05-26,2010-06-03,NULL," Services"," Retail (Department & Discount)"," SHLD"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 06-CV-4053"," Hon. John E. Sprizzo",2006-05-26,2003-05-06,2004-06-04,"Faruqi & Faruqi LLP (New York) (former)320 East 39th Street, Faruqi & Faruqi LLP (New York) (former), NY 10016212.983.9330 212.983.9331 · Nfaruqi@faruqilaw.com"," S.D. New York"," 06-CV-4053"," Hon. John E. Sprizzo",2007-05-11,2003-05-06,2004-09-29,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3022,NULL," Vonage Holdings Corporation 
								  
",Settled,2006-06-02,2011-04-01,NULL," Services"," Communications Services"," VG"," Public (Listed)"," United States"," New York SE"," D. New Jersey"," 06-CV-02500"," Hon. Stanley R. Chesler",2006-06-02,2006-05-24,2006-05-31,"Cohen, Placitella & Roth115 Maple Avenue, Cohen, Placitella & Roth, NJ 07701732.747.9003 732.747.9003 · "," D. New Jersey"," 07-CV-00177"," Hon. Stanley R. Chesler",2007-11-19,2006-05-24,2006-05-31,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
3023,NULL," Tower Semiconductor Ltd. 
								  
",Dismissed,2003-07-03,2004-08-30,NULL," Technology"," Semiconductors"," TSEM"," Public (Listed)"," Israel"," NASDAQ"," S.D. New York"," 03-CV-04999"," Hon. Kimba M. Wood",2003-07-03,2002-04-01,2003-07-03,"Abraham & AssociatesOne Penn Plaza, Suite 1910, Abraham & Associates, NY 10119212.714.2444 212.714.2444 · Larryl@abrahamlaw.com",None,None,None,1900-01-01,1900-01-01,1900-01-01,2003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
